id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update
18,US,125433,0,2201,2612,40.0,-100.0,1585498567000
11,Italy,97689,73880,10779,13030,41.8719,12.5674,1585498555000
4,China,82122,3236,3304,75582,30.5928,114.3055,1585491946000
155,Spain,78799,57484,6606,14709,40.463667,-3.74922,1585498555000
8,Germany,58247,49311,455,8481,51.1657,10.4515,1585498555000
88,Iran,38309,23278,2640,12391,32.427908,53.688046,1585498555000
7,France,38105,30064,2317,5724,46.2276,2.2137,1585498555000
17,United Kingdom,19763,18381,1231,151,55.0,-3.0,1585498555000
16,Switzerland,14829,12934,300,1595,46.8182,8.2275,1585498555000
12,Netherlands,10926,9901,772,253,52.3167,5.55,1585498555000
33,Belgium,10836,9046,431,1359,50.8333,4.469936,1585498555000
96,"Korea, South",9583,4398,152,5033,35.907757,127.766922,1585498555000
2,Austria,8648,8083,86,479,47.5162,14.5501,1585498555000
167,Turkey,7402,7224,108,70,38.9637,35.2433,1585498555000
138,Portugal,5962,5800,119,43,39.3999,-8.2245,1585498555000
3,Canada,5878,0,64,466,60.001,-95.001,1585498880000
13,Norway,4239,4207,25,7,60.472,8.4689,1585498555000
1,Australia,3980,3720,16,244,-25.0,133.0,1585498894000
39,Brazil,3904,3781,117,6,-14.235,-51.9253,1585498555000
90,Israel,3865,3761,15,89,31.046051,34.851612,1585498555000
15,Sweden,3700,3574,110,16,60.1282,18.6435,1585498555000
58,Czechia,2716,2692,13,11,49.8175,15.473,1585498555000
5,Denmark,2564,2419,72,73,56.0,10.0,1585498555000
110,Malaysia,2470,2047,35,388,4.210484,101.975766,1585498555000
10,Ireland,2415,2374,36,5,53.1424,-7.6921,1585498555000
49,Chile,2139,2057,7,75,-35.6751,-71.543,1585498555000
107,Luxembourg,1950,1889,21,40,49.8153,6.1296,1585498555000
63,Ecuador,1823,1772,48,3,-1.8312,-78.1834,1585498555000
137,Poland,1771,1744,20,7,51.9194,19.1451,1585498555000
140,Romania,1760,1551,40,169,45.9432,24.9668,1585498555000
92,Japan,1693,1217,52,424,36.204824,138.252924,1585498555000
14,Russia,1534,1462,8,64,61.524,105.3188,1585498555000
131,Pakistan,1526,1483,14,29,30.3753,69.3451,1585498555000
136,Philippines,1418,1305,71,42,12.879721,121.774017,1585498555000
162,Thailand,1388,1284,7,97,15.870032,100.992541,1585498555000
146,Saudi Arabia,1299,1225,8,66,23.885942,45.079162,1585498555000
87,Indonesia,1285,1107,114,64,-0.7893,113.9213,1585498555000
6,Finland,1240,1219,11,10,61.9241,25.7482,1585498555000
154,South Africa,1187,1155,1,31,-30.5595,22.9375,1585498555000
76,Greece,1156,1066,38,52,39.0742,21.8243,1585498555000
86,India,1024,910,27,87,20.593684,78.96288,1585498555000
9,Iceland,1020,904,2,114,64.9631,-19.0208,1585498555000
132,Panama,901,880,17,4,8.538,-80.7821,1585498555000
62,Dominican Republic,859,817,39,3,18.7357,-70.1627,1585498555000
116,Mexico,848,828,16,4,23.6345,-102.5528,1585498555000
150,Singapore,844,629,3,212,1.2833,103.8333,1585498555000
25,Argentina,745,654,19,72,-38.4161,-63.6167,1585498555000
152,Slovenia,730,709,11,10,46.1512,14.9955,1585498555000
55,Croatia,713,655,6,52,45.1,15.2,1585498555000
59,Diamond Princess,712,105,10,597,0.0,0.0,1585498555000
68,Estonia,679,656,3,20,58.5953,25.0136,1585498555000
135,Peru,671,639,16,16,-9.19,-75.0152,1585498555000
148,Serbia,659,649,10,0,44.0165,21.0059,1585498555000
50,Colombia,608,592,6,10,4.5709,-74.2973,1585498555000
139,Qatar,590,544,1,45,25.3548,51.1839,1585498555000
64,Egypt,576,419,36,121,26.820553,30.802498,1585498555000
89,Iraq,547,362,42,143,33.223191,43.679291,1585498555000
125,New Zealand,514,457,1,56,-40.9006,174.886,1585498555000
29,Bahrain,499,223,4,272,26.0275,50.55,1585498555000
170,United Arab Emirates,468,411,2,55,23.424076,53.847818,1585498555000
21,Algeria,454,394,29,31,28.0339,1.6596,1585498555000
121,Morocco,450,411,26,13,31.7917,-7.0926,1585498555000
102,Lebanon,438,398,10,30,33.8547,35.8623,1585498555000
106,Lithuania,437,429,7,1,55.1694,23.8813,1585498555000
26,Armenia,424,391,3,30,40.0691,45.0382,1585498555000
169,Ukraine,418,404,9,5,48.3794,31.1656,1585498555000
85,Hungary,408,361,13,34,47.1625,19.5033,1585498555000
101,Latvia,347,346,0,1,56.8796,24.6032,1585498555000
41,Bulgaria,346,324,8,14,42.7339,25.4858,1585498555000
22,Andorra,334,327,6,1,42.5063,1.5218,1585498555000
